Code,Country,District_Double,District_Single,WHO_countries,WHO_districts
2029,Guinea,Nzerekore_Beyla,Beyla,GUINEA,BEYLA
2001,Guinea,Boke_Boffa,Boffa,GUINEA,BOFFA
2002,Guinea,Boke_Boke,Boke,GUINEA,BOKE
2006,Guinea,Conakry,Conakry,GUINEA,RATOMA
2016,Guinea,Kindia_Coyah,Coyah,GUINEA,COYAH
2007,Guinea,Faranah_Dabola,Dabola,GUINEA,DABOLA
2026,Guinea,Mamou_Dalaba,Dalaba,GUINEA,DALABA
2008,Guinea,Faranah_Dinguiraye,Dinguiraye,GUINEA,DINGUIRAYE
2017,Guinea,Kindia_Dubreka,Dubreka,GUINEA,DUBREKA
2009,Guinea,Faranah_Faranah,Faranah,GUINEA,FARANAH
2018,Guinea,Kindia_Forecariah,Forecariah,GUINEA,FORECARIAH
2003,Guinea,Boke_Fria,Fria,GUINEA,FRIA
2004,Guinea,Boke_Gaoual,Gaoual,GUINEA,GAOUAL
2030,Guinea,Nzerekore_Gueckedou,Gueckedou,GUINEA,GUECKEDOU
2011,Guinea,Kankan_Kankan,Kankan,GUINEA,KANKAN
2013,Guinea,Kankan_Kerouane,Kerouane,GUINEA,KEROUANE
2019,Guinea,Kindia_Kindia,Kindia,GUINEA,KINDIA
2010,Guinea,Faranah_Kissidougou,Kissidougou,GUINEA,KISSIDOUGO
2021,Guinea,Labe_Koubia,Koubia,GUINEA,KOUBIA
2005,Guinea,Boke_Koundara,Koundara,GUINEA,KOUNDARA
2012,Guinea,Kankan_Kouroussa,Kouroussa,GUINEA,KOUROUSSA
2022,Guinea,Labe_Labe,Labe,GUINEA,LABE
2023,Guinea,Labe_Lelouma,Lelouma,GUINEA,LELOUMA
2031,Guinea,Nzerekore_Lola,Lola,GUINEA,LOLA
2032,Guinea,Nzerekore_Macenta,Macenta,GUINEA,MACENTA
2024,Guinea,Labe_Mali,Mali,GUINEA,MALI
2027,Guinea,Mamou_Mamou,Mamou,GUINEA,MAMOU
2014,Guinea,Kankan_Mandiana,Mandiana,GUINEA,MANDIANA
2033,Guinea,Nzerekore_Nzerekore,Nzerekore,GUINEA,N'ZEREKORE
2028,Guinea,Mamou_Pita,Pita,GUINEA,PITA
2015,Guinea,Kankan_Siguiri,Siguiri,GUINEA,SIGUIRI
2020,Guinea,Kindia_Telimele,Telimele,GUINEA,TELIMELE
2025,Guinea,Labe_Tougue,Tougue,GUINEA,TOUGUE
2034,Guinea,Nzerekore_Yomou,Yomou,GUINEA,YOMOU
2501,Liberia,Bomi,Bomi,LIBERIA,BOMI
2502,Liberia,Bong,Bong,LIBERIA,BONG
2503,Liberia,Gbapolu,Gbapolu,LIBERIA,GBARPOLU
2505,Liberia,GrandBassa,GrandBassa,LIBERIA,GRAND BASSA
2504,Liberia,GrandCapeMount,GrandCapeMount,LIBERIA,GRAND CAPE MOUNT
2506,Liberia,GrandGedeh,GrandGedeh,LIBERIA,GRAND GEDEH
2507,Liberia,GrandKru,GrandKru,LIBERIA,GRAND KRU
2508,Liberia,Lofa,Lofa,LIBERIA,LOFA
2509,Liberia,Margibi,Margibi,LIBERIA,MARGIBI
2510,Liberia,Maryland,Maryland,LIBERIA,MARYLAND
2511,Liberia,Montserrado,Montserrado,LIBERIA,MONTSERRADO
2512,Liberia,Nimba,Nimba,LIBERIA,NIMBA
2513,Liberia,River_Cess,RiverCess,LIBERIA,RIVER GEE
2514,Liberia,River_Gee,RiverGee,LIBERIA,RIVERCESS
2515,Liberia,Sinoe,Sinoe,LIBERIA,SINOE
4009,Sierra_Leone,Southern_Bo,Bo,SIERRA LEONE,BO
4004,Sierra_Leone,Northern_Bomabli,Bomabli,SIERRA LEONE,BOMBALI
4010,Sierra_Leone,Southern_Bonthe,Bonthe,SIERRA LEONE,BONTHE
4014,Sierra_Leone,Western_Freetown,Freetown,SIERRA LEONE,FREETOWN
4001,Sierra_Leone,Eastern_Kailahun,Kailahun,SIERRA LEONE,KAILAHUN
4005,Sierra_Leone,Northern_Kambia,Kambia,SIERRA LEONE,KAMBIA
4002,Sierra_Leone,Eastern_Kenema,Kenema,SIERRA LEONE,KENEMA
4006,Sierra_Leone,Northern_Koinadougou,Koinadougou,SIERRA LEONE,KOINADUGU
4003,Sierra_Leone,Eastern_Kono,Kono,SIERRA LEONE,KONO
4011,Sierra_Leone,Southern_Moyamba,Moyamba,SIERRA LEONE,MOYAMBA
4007,Sierra_Leone,Northern_Port-Loko,Port-Loko,SIERRA LEONE,PORT LOKO
4012,Sierra_Leone,Southern_Pujehun,Pujehun,SIERRA LEONE,PUJEHUN
4008,Sierra_Leone,Northern_Tonkolili,Tonkolili,SIERRA LEONE,TONKOLILI
4013,Sierra_Leone,Western_Western-Rural,Western-Rural,SIERRA LEONE,WESTERN RURAL
