Household Size,Number of people in household aged 0 to 19,Number of people in household aged 20 to 64,Number of people in household aged 65 or over,Total
1 person in household,1,0,0,41072
1 person in household,0,1,0,4122259
1 person in household,0,0,1,2903930
,,,,
2 people in household,2,0,0,25570
2 people in household,1,1,0,864926
2 people in household,1,0,1,25283
2 people in household,0,2,0,4128044
2 people in household,0,1,1,999527
2 people in household,0,0,2,1954681
,,,,
3 people in household,3,0,0,6278
3 people in household,2,1,0,525090
3 people in household,2,0,1,1558
3 people in household,1,2,0,1698876
3 people in household,1,1,1,36626
3 people in household,1,0,2,7959
3 people in household,0,3,0,958360
3 people in household,0,2,1,195534
3 people in household,0,1,2,196568
3 people in household,0,0,3,14720
,,,,
4 people in household,4,0,0,1551
4 people in household,3,1,0,191630
4 people in household,3,0,1,329
4 people in household,2,2,0,1990454
4 people in household,2,1,1,12933
4 people in household,2,0,2,961
4 people in household,1,3,0,356661
4 people in household,1,2,1,30724
4 people in household,1,1,2,7743
4 people in household,1,0,3,153
4 people in household,0,4,0,354523
4 people in household,0,3,1,47998
4 people in household,0,2,2,31588
4 people in household,0,1,3,2513
4 people in household,0,0,4,1317
,,,,
5 people in household,5,0,0,748
5 people in household,4,1,0,59701
5 people in household,4,0,1,92
5 people in household,3,2,0,635617
5 people in household,3,1,1,3264
5 people in household,3,0,2,182
5 people in household,2,3,0,143022
5 people in household,2,2,1,22529
5 people in household,2,1,2,2110
5 people in household,2,0,3,17
5 people in household,1,4,0,97910
5 people in household,1,3,1,12616
5 people in household,1,2,2,6666
5 people in household,1,1,3,144
5 people in household,1,0,4,14
5 people in household,0,5,0,81030
5 people in household,0,4,1,12294
5 people in household,0,3,2,5776
5 people in household,0,2,3,655
5 people in household,0,1,4,275
5 people in household,0,0,5,526
,,,,
6 people in household,6,0,0,338
6 people in household,5,1,0,18907
6 people in household,5,0,1,28
6 people in household,4,2,0,181878
6 people in household,4,1,1,1134
6 people in household,4,0,2,31
6 people in household,3,3,0,50045
6 people in household,3,2,1,9207
6 people in household,3,1,2,496
6 people in household,3,0,3,4
6 people in household,2,4,0,42582
6 people in household,2,3,1,8165
6 people in household,2,2,2,7137
6 people in household,2,1,3,52
6 people in household,2,0,4,2
6 people in household,1,5,0,25953
6 people in household,1,4,1,4816
6 people in household,1,3,2,2282
6 people in household,1,2,3,122
6 people in household,1,1,4,14
6 people in household,1,0,5,6
6 people in household,0,6,0,27471
6 people in household,0,5,1,3610
6 people in household,0,4,2,1779
6 people in household,0,3,3,201
6 people in household,0,2,4,90
6 people in household,0,1,5,107
6 people in household,0,0,6,327
,,,,
7 people in household,7,0,0,48
7 people in household,6,1,0,4055
7 people in household,6,0,1,3
7 people in household,5,2,0,35909
7 people in household,5,1,1,246
7 people in household,5,0,2,4
7 people in household,4,3,0,11611
7 people in household,4,2,1,2457
7 people in household,4,1,2,71
7 people in household,4,0,3,1
7 people in household,3,4,0,10831
7 people in household,3,3,1,2274
7 people in household,3,2,2,2223
7 people in household,3,1,3,8
7 people in household,3,0,4,0
7 people in household,2,5,0,7820
7 people in household,2,4,1,1845
7 people in household,2,3,2,1046
7 people in household,2,2,3,90
7 people in household,2,1,4,0
7 people in household,2,0,5,0
7 people in household,1,6,0,4774
7 people in household,1,5,1,1027
7 people in household,1,4,2,521
7 people in household,1,3,3,37
7 people in household,1,2,4,12
7 people in household,1,1,5,3
7 people in household,1,0,6,1
7 people in household,0,7,0,4873
7 people in household,0,6,1,542
7 people in household,0,5,2,304
7 people in household,0,4,3,47
7 people in household,0,3,4,12
7 people in household,0,2,5,12
7 people in household,0,1,6,15
7 people in household,0,0,7,12
,,,,
8 people in household,8,0,0,87
8 people in household,7,1,0,1211
8 people in household,7,0,1,2
8 people in household,6,2,0,11228
8 people in household,6,1,1,95
8 people in household,6,0,2,3
8 people in household,5,3,0,3841
8 people in household,5,2,1,841
8 people in household,5,1,2,20
8 people in household,5,0,3,0
8 people in household,4,4,0,4094
8 people in household,4,3,1,816
8 people in household,4,2,2,680
8 people in household,4,1,3,4
8 people in household,4,0,4,1
8 people in household,3,5,0,3185
8 people in household,3,4,1,836
8 people in household,3,3,2,417
8 people in household,3,2,3,31
8 people in household,3,1,4,0
8 people in household,3,0,5,0
8 people in household,2,6,0,2746
