index, coord.x, coord.y, age, household.index
0, -0.187951, 0.111814, 73, 0
1, -0.187951, 0.111814, 65, 0
2, -0.188579, 0.11126, 64, 1
3, -0.188579, 0.11126, 60, 1
4, -0.188561, 0.111138, 28, 2
5, -0.188561, 0.111138, 17, 2
6, -0.188561, 0.111138, 50, 2
7, -0.188561, 0.111138, 55, 2
8, -0.188561, 0.111138, 28, 2
9, -0.187561, 0.11186, 19, 3
10, -0.187561, 0.11186, 11, 3
11, -0.187561, 0.11186, 61, 3
12, -0.187561, 0.11186, 58, 3
13, -0.188585, 0.111346, 14, 4
14, -0.188585, 0.111346, 35, 4
15, -0.188585, 0.111346, 26, 4
16, -0.188571, 0.111478, 22, 5
17, -0.188571, 0.111478, 30, 5
18, -0.188571, 0.111478, 39, 5
19, -0.188571, 0.111478, 44, 5
20, -0.187094, 0.110155, 5, 6
21, -0.187094, 0.110155, 45, 6
22, -0.187094, 0.110155, 65, 6
23, -0.188138, 0.110436, 51, 7
24, -0.188138, 0.110436, 39, 7
25, -0.187968, 0.111568, 66, 8
26, -0.187968, 0.111568, 71, 8
27, -0.187968, 0.111568, 69, 8
28, -0.187968, 0.111568, 16, 8
29, -0.18771, 0.111904, 0, 9
30, -0.18771, 0.111904, 58, 9
31, -0.187651, 0.111855, 30, 10
32, -0.187651, 0.111855, 13, 10
33, -0.188484, 0.11108, 79, 11
34, -0.188484, 0.11108, 58, 11
35, -0.188484, 0.11108, 69, 11
36, -0.188484, 0.11108, 7, 11
37, -0.1877, 0.110708, 65, 12
38, -0.1877, 0.110708, 14, 12
39, -0.188377, 0.111487, 66, 13
40, -0.188377, 0.111487, 48, 13
41, -0.188171, 0.11159, 75, 14
42, -0.188171, 0.11159, 13, 14
43, -0.188171, 0.11159, 12, 14
44, -0.188171, 0.11159, 36, 14
45, -0.188613, 0.111393, 31, 15
46, -0.188613, 0.111393, 22, 15
47, -0.188613, 0.111393, 55, 15
48, -0.188613, 0.111393, 58, 15
49, -0.188613, 0.111393, 1, 15
50, -0.188177, 0.111802, 62, 16
51, -0.186458, 0.112082, 8, 17
52, -0.186458, 0.112082, 9, 17
53, -0.187763, 0.111892, 1, 18
54, -0.187763, 0.111892, 51, 18
55, -0.187763, 0.111892, 26, 18
56, -0.187763, 0.111892, 43, 18
57, -0.188155, 0.111674, 10, 19
58, -0.188155, 0.111674, 63, 19
59, -0.186022, 0.110775, 14, 20
60, -0.186022, 0.110775, 30, 20
61, -0.186654, 0.112625, 65, 21
62, -0.186654, 0.112625, 11, 21
63, -0.18684, 0.112034, 76, 22
64, -0.18684, 0.112034, 69, 22
65, -0.18684, 0.112034, 56, 22
66, -0.18684, 0.112034, 45, 22
67, -0.187608, 0.111934, 67, 23
68, -0.185908, 0.110709, 79, 24
69, -0.185908, 0.110709, 36, 24
70, -0.185908, 0.110709, 65, 24
71, -0.185908, 0.110709, 10, 24
72, -0.188514, 0.111329, 54, 25
73, -0.186231, 0.112113, 55, 26
74, -0.186231, 0.112113, 31, 26
75, -0.188498, 0.111288, 67, 27
76, -0.188342, 0.111625, 18, 28
77, -0.188342, 0.111625, 48, 28
78, -0.188514, 0.111339, 75, 29
79, -0.188514, 0.111339, 62, 29
80, -0.188514, 0.111339, 67, 29
81, -0.188514, 0.111339, 61, 29
82, -0.188514, 0.111339, 30, 29
83, -0.188514, 0.111339, 62, 29
84, -0.188367, 0.111533, 15, 30
85, -0.188367, 0.111533, 8, 30
86, -0.188367, 0.111533, 7, 30
87, -0.188367, 0.111533, 52, 30
88, -0.186742, 0.112683, 63, 31
89, -0.186742, 0.112683, 54, 31
90, -0.188205, 0.111572, 49, 32
91, -0.188205, 0.111572, 65, 32
92, -0.188205, 0.111572, 14, 32
93, -0.188205, 0.111572, 50, 32
94, -0.188205, 0.111572, 55, 32
95, -0.188205, 0.111572, 14, 32
96, -0.188205, 0.111572, 57, 32
97, -0.186682, 0.112678, 72, 33
98, -0.186682, 0.112678, 61, 33
99, -0.186682, 0.112678, 34, 33
100, -0.186682, 0.112678, 25, 33
101, -0.186682, 0.112678, 23, 33
102, -0.186682, 0.112678, 16, 33
103, -0.188451, 0.111063, 6, 34
104, -0.188451, 0.111063, 28, 34
105, -0.188451, 0.111063, 12, 34
106, -0.188451, 0.111063, 40, 34
107, -0.188451, 0.111063, 70, 34
108, -0.184875, 0.109769, 23, 35
109, -0.184875, 0.109769, 72, 35
110, -0.184875, 0.109769, 26, 35
111, -0.184875, 0.109769, 53, 35
112, -0.184875, 0.109769, 26, 35
113, -0.188596, 0.111128, 72, 36
114, -0.188596, 0.111128, 61, 36
115, -0.188596, 0.111128, 75, 36
116, -0.188596, 0.111128, 63, 36
117, -0.188596, 0.111128, 32, 36
118, -0.188596, 0.111128, 77, 36
119, -0.188596, 0.111128, 14, 36
120, -0.186189, 0.112789, 65, 37
121, -0.186189, 0.112789, 29, 37
122, -0.186189, 0.112789, 75, 37
123, -0.186189, 0.112789, 65, 37
124, -0.186189, 0.112789, 17, 37
125, -0.186189, 0.112789, 28, 37
126, -0.185904, 0.110689, 65, 38
127, -0.185904, 0.110689, 42, 38
128, -0.185904, 0.110689, 49, 38
129, -0.188071, 0.111671, 75, 39
130, -0.188071, 0.111671, 15, 39
131, -0.18511, 0.110012, 26, 40
132, -0.186115, 0.112148, 25, 41
133, -0.186115, 0.112148, 53, 41
134, -0.187257, 0.110926, 8, 42
135, -0.187257, 0.110926, 44, 42
136, -0.187257, 0.110926, 75, 42
137, -0.187257, 0.110926, 12, 42
138, -0.187257, 0.110926, 10, 42
139, -0.187257, 0.110926, 52, 42
140, -0.187259, 0.111203, 68, 43
141, -0.187259, 0.111203, 22, 43
142, -0.187259, 0.111203, 32, 43
143, -0.186558, 0.112436, 34, 44
144, -0.186558, 0.112436, 64, 44
145, -0.186558, 0.112436, 7, 44
146, -0.186558, 0.112436, 65, 44
147, -0.188761, 0.111275, 58, 45
148, -0.188761, 0.111275, 12, 45
149, -0.188761, 0.111275, 1, 45
150, -0.188761, 0.111275, 9, 45
151, -0.188659, 0.111135, 31, 46
152, -0.188659, 0.111135, 70, 46
153, -0.188659, 0.111135, 20, 46
154, -0.186412, 0.112031, 15, 47
155, -0.186412, 0.112031, 52, 47
156, -0.186412, 0.112031, 73, 47
157, -0.186412, 0.112031, 66, 47
158, -0.186412, 0.112031, 40, 47
159, -0.188185, 0.111628, 57, 48
160, -0.188185, 0.111628, 55, 48
161, -0.188185, 0.111628, 36, 48
162, -0.188185, 0.111628, 15, 48
163, -0.187151, 0.110302, 21, 49
164, -0.187151, 0.110302, 20, 49
165, -0.187151, 0.110302, 66, 49
166, -0.187151, 0.110302, 28, 49
167, -0.18494, 0.11279, 36, 50
168, -0.188023, 0.111737, 18, 51
169, -0.18784, 0.111805, 48, 52
170, -0.18784, 0.111805, 25, 52
171, -0.188131, 0.111581, 50, 53
172, -0.188131, 0.111581, 63, 53
173, -0.188131, 0.111581, 37, 53
174, -0.188131, 0.111581, 60, 53
175, -0.185558, 0.110051, 48, 54
176, -0.18783, 0.111977, 18, 55
177, -0.18783, 0.111977, 18, 55
178, -0.18783, 0.111977, 74, 55
179, -0.18783, 0.111977, 73, 55
180, -0.186584, 0.112671, 8, 56
181, -0.186584, 0.112671, 72, 56
182, -0.186584, 0.112671, 61, 56
183, -0.186584, 0.112671, 17, 56
184, -0.188332, 0.111594, 71, 57
185, -0.188332, 0.111594, 7, 57
186, -0.188332, 0.111594, 26, 57
187, -0.188332, 0.111594, 71, 57
188, -0.187298, 0.10956, 2, 58
189, -0.187298, 0.10956, 65, 58
190, -0.188493, 0.111601, 23, 59
191, -0.188493, 0.111601, 75, 59
192, -0.188493, 0.111601, 41, 59
193, -0.188493, 0.111601, 58, 59
194, -0.188493, 0.111601, 22, 59
195, -0.185646, 0.109732, 60, 60
196, -0.185646, 0.109732, 22, 60
197, -0.185646, 0.109732, 77, 60
198, -0.185646, 0.109732, 23, 60
199, -0.186608, 0.112104, 56, 61
